Date,Open,High,Low,Close,Adjusted_close,Volume
2020-05-07,303.22,305.17,301.97,303.74,75.1106,115215040
2020-05-08,305.64,310.35,304.29,310.13,76.8984,134047952
2020-05-11,308.1,317.05,307.24,315.01,78.1084,145946236
2020-05-12,317.83,319.688,310.91,311.41,77.2157,162301048
2020-05-13,312.15,315.95,303.21,307.65,76.2834,200622564
2020-05-14,304.51,309.79,301.53,309.54,76.7521,158929092
2020-05-15,300.35,307.9,300.21,307.71,76.2983,166348360
2020-05-18,313.17,316.5,310.3241,314.96,78.096,135372516
2020-05-19,315.03,318.52,313.01,313.14,77.6447,101729564
2020-05-20,316.68,319.52,316.2,319.23,79.1548,111504884
2020-05-21,318.66,320.89,315.87,316.85,78.5646,102688844
2020-05-22,315.77,319.23,315.35,318.89,79.0705,81803000
2020-05-26,323.5,324.24,316.5,316.73,78.5349,125521796
2020-05-27,316.14,318.71,313.09,318.11,78.877,112945080
2020-05-28,316.77,323.44,315.63,318.25,78.9118,133796408
2020-05-29,319.25,321.15,316.47,317.94,78.8349,153598108
2020-06-01,317.75,322.35,317.21,321.85,79.8044,81018600
2020-06-02,320.745,323.44,318.93,323.34,80.1739,87642796
